PING 10.0.0.11 (10.0.0.11) 1000(1028) bytes of data.
1008 bytes from 10.0.0.11: icmp_seq=1 ttl=64 time=14.5 ms
1008 bytes from 10.0.0.11: icmp_seq=2 ttl=64 time=15.6 ms
1008 bytes from 10.0.0.11: icmp_seq=3 ttl=64 time=19.0 ms
1008 bytes from 10.0.0.11: icmp_seq=4 ttl=64 time=18.5 ms
1008 bytes from 10.0.0.11: icmp_seq=5 ttl=64 time=18.4 ms
1008 bytes from 10.0.0.11: icmp_seq=6 ttl=64 time=17.2 ms
1008 bytes from 10.0.0.11: icmp_seq=7 ttl=64 time=18.5 ms
1008 bytes from 10.0.0.11: icmp_seq=8 ttl=64 time=18.1 ms
1008 bytes from 10.0.0.11: icmp_seq=9 ttl=64 time=19.6 ms
1008 bytes from 10.0.0.11: icmp_seq=10 ttl=64 time=18.7 ms
1008 bytes from 10.0.0.11: icmp_seq=11 ttl=64 time=18.9 ms
1008 bytes from 10.0.0.11: icmp_seq=12 ttl=64 time=23.2 ms
1008 bytes from 10.0.0.11: icmp_seq=13 ttl=64 time=18.3 ms
1008 bytes from 10.0.0.11: icmp_seq=14 ttl=64 time=21.1 ms
1008 bytes from 10.0.0.11: icmp_seq=15 ttl=64 time=25.4 ms
1008 bytes from 10.0.0.11: icmp_seq=16 ttl=64 time=27.6 ms
1008 bytes from 10.0.0.11: icmp_seq=17 ttl=64 time=28.2 ms
1008 bytes from 10.0.0.11: icmp_seq=18 ttl=64 time=31.9 ms
1008 bytes from 10.0.0.11: icmp_seq=19 ttl=64 time=34.4 ms
1008 bytes from 10.0.0.11: icmp_seq=20 ttl=64 time=37.1 ms
1008 bytes from 10.0.0.11: icmp_seq=21 ttl=64 time=39.5 ms
1008 bytes from 10.0.0.11: icmp_seq=22 ttl=64 time=41.5 ms
1008 bytes from 10.0.0.11: icmp_seq=23 ttl=64 time=41.6 ms
1008 bytes from 10.0.0.11: icmp_seq=24 ttl=64 time=42.5 ms
1008 bytes from 10.0.0.11: icmp_seq=25 ttl=64 time=45.1 ms
1008 bytes from 10.0.0.11: icmp_seq=26 ttl=64 time=46.9 ms
1008 bytes from 10.0.0.11: icmp_seq=27 ttl=64 time=48.2 ms
1008 bytes from 10.0.0.11: icmp_seq=28 ttl=64 time=45.9 ms
1008 bytes from 10.0.0.11: icmp_seq=29 ttl=64 time=52.2 ms
1008 bytes from 10.0.0.11: icmp_seq=30 ttl=64 time=51.9 ms
1008 bytes from 10.0.0.11: icmp_seq=31 ttl=64 time=56.1 ms
1008 bytes from 10.0.0.11: icmp_seq=32 ttl=64 time=60.3 ms
1008 bytes from 10.0.0.11: icmp_seq=33 ttl=64 time=64.6 ms
1008 bytes from 10.0.0.11: icmp_seq=34 ttl=64 time=62.8 ms
1008 bytes from 10.0.0.11: icmp_seq=35 ttl=64 time=64.1 ms
1008 bytes from 10.0.0.11: icmp_seq=36 ttl=64 time=65.7 ms
1008 bytes from 10.0.0.11: icmp_seq=37 ttl=64 time=70.0 ms
1008 bytes from 10.0.0.11: icmp_seq=38 ttl=64 time=73.5 ms
1008 bytes from 10.0.0.11: icmp_seq=39 ttl=64 time=74.6 ms
1008 bytes from 10.0.0.11: icmp_seq=40 ttl=64 time=75.5 ms
1008 bytes from 10.0.0.11: icmp_seq=41 ttl=64 time=77.9 ms
1008 bytes from 10.0.0.11: icmp_seq=42 ttl=64 time=78.9 ms
1008 bytes from 10.0.0.11: icmp_seq=43 ttl=64 time=84.0 ms
1008 bytes from 10.0.0.11: icmp_seq=44 ttl=64 time=84.1 ms
1008 bytes from 10.0.0.11: icmp_seq=45 ttl=64 time=91.9 ms
1008 bytes from 10.0.0.11: icmp_seq=46 ttl=64 time=50.5 ms
1008 bytes from 10.0.0.11: icmp_seq=47 ttl=64 time=60.6 ms
1008 bytes from 10.0.0.11: icmp_seq=48 ttl=64 time=62.7 ms
1008 bytes from 10.0.0.11: icmp_seq=49 ttl=64 time=65.4 ms
1008 bytes from 10.0.0.11: icmp_seq=50 ttl=64 time=66.2 ms
1008 bytes from 10.0.0.11: icmp_seq=51 ttl=64 time=67.1 ms
1008 bytes from 10.0.0.11: icmp_seq=52 ttl=64 time=70.8 ms
1008 bytes from 10.0.0.11: icmp_seq=53 ttl=64 time=72.1 ms
1008 bytes from 10.0.0.11: icmp_seq=54 ttl=64 time=72.7 ms
1008 bytes from 10.0.0.11: icmp_seq=55 ttl=64 time=74.4 ms
1008 bytes from 10.0.0.11: icmp_seq=56 ttl=64 time=75.2 ms
1008 bytes from 10.0.0.11: icmp_seq=57 ttl=64 time=74.8 ms
1008 bytes from 10.0.0.11: icmp_seq=58 ttl=64 time=72.3 ms
1008 bytes from 10.0.0.11: icmp_seq=59 ttl=64 time=76.1 ms
1008 bytes from 10.0.0.11: icmp_seq=60 ttl=64 time=78.4 ms
1008 bytes from 10.0.0.11: icmp_seq=61 ttl=64 time=76.2 ms
1008 bytes from 10.0.0.11: icmp_seq=62 ttl=64 time=76.6 ms
1008 bytes from 10.0.0.11: icmp_seq=63 ttl=64 time=76.6 ms
1008 bytes from 10.0.0.11: icmp_seq=64 ttl=64 time=79.3 ms
1008 bytes from 10.0.0.11: icmp_seq=65 ttl=64 time=79.6 ms
1008 bytes from 10.0.0.11: icmp_seq=66 ttl=64 time=81.3 ms
1008 bytes from 10.0.0.11: icmp_seq=67 ttl=64 time=80.1 ms
1008 bytes from 10.0.0.11: icmp_seq=68 ttl=64 time=82.1 ms
1008 bytes from 10.0.0.11: icmp_seq=69 ttl=64 time=80.1 ms
1008 bytes from 10.0.0.11: icmp_seq=70 ttl=64 time=79.5 ms
1008 bytes from 10.0.0.11: icmp_seq=71 ttl=64 time=80.5 ms
1008 bytes from 10.0.0.11: icmp_seq=72 ttl=64 time=79.6 ms
1008 bytes from 10.0.0.11: icmp_seq=73 ttl=64 time=77.3 ms
1008 bytes from 10.0.0.11: icmp_seq=74 ttl=64 time=79.6 ms
1008 bytes from 10.0.0.11: icmp_seq=75 ttl=64 time=79.4 ms
1008 bytes from 10.0.0.11: icmp_seq=76 ttl=64 time=78.4 ms
1008 bytes from 10.0.0.11: icmp_seq=77 ttl=64 time=77.9 ms
1008 bytes from 10.0.0.11: icmp_seq=78 ttl=64 time=78.2 ms
1008 bytes from 10.0.0.11: icmp_seq=79 ttl=64 time=78.4 ms
1008 bytes from 10.0.0.11: icmp_seq=80 ttl=64 time=78.1 ms
1008 bytes from 10.0.0.11: icmp_seq=81 ttl=64 time=79.7 ms
1008 bytes from 10.0.0.11: icmp_seq=82 ttl=64 time=77.9 ms
1008 bytes from 10.0.0.11: icmp_seq=83 ttl=64 time=78.2 ms
1008 bytes from 10.0.0.11: icmp_seq=84 ttl=64 time=78.5 ms
1008 bytes from 10.0.0.11: icmp_seq=85 ttl=64 time=77.7 ms
1008 bytes from 10.0.0.11: icmp_seq=86 ttl=64 time=78.6 ms
1008 bytes from 10.0.0.11: icmp_seq=87 ttl=64 time=77.2 ms
1008 bytes from 10.0.0.11: icmp_seq=88 ttl=64 time=77.6 ms
1008 bytes from 10.0.0.11: icmp_seq=89 ttl=64 time=77.5 ms
1008 bytes from 10.0.0.11: icmp_seq=90 ttl=64 time=78.3 ms
1008 bytes from 10.0.0.11: icmp_seq=91 ttl=64 time=78.1 ms
1008 bytes from 10.0.0.11: icmp_seq=92 ttl=64 time=78.0 ms
1008 bytes from 10.0.0.11: icmp_seq=93 ttl=64 time=79.3 ms
1008 bytes from 10.0.0.11: icmp_seq=94 ttl=64 time=77.7 ms
1008 bytes from 10.0.0.11: icmp_seq=95 ttl=64 time=80.9 ms
1008 bytes from 10.0.0.11: icmp_seq=96 ttl=64 time=81.5 ms
1008 bytes from 10.0.0.11: icmp_seq=97 ttl=64 time=81.2 ms
1008 bytes from 10.0.0.11: icmp_seq=98 ttl=64 time=79.2 ms
1008 bytes from 10.0.0.11: icmp_seq=99 ttl=64 time=77.9 ms
1008 bytes from 10.0.0.11: icmp_seq=100 ttl=64 time=78.6 ms
1008 bytes from 10.0.0.11: icmp_seq=101 ttl=64 time=76.7 ms
1008 bytes from 10.0.0.11: icmp_seq=102 ttl=64 time=74.5 ms
1008 bytes from 10.0.0.11: icmp_seq=103 ttl=64 time=76.5 ms
1008 bytes from 10.0.0.11: icmp_seq=104 ttl=64 time=77.3 ms
1008 bytes from 10.0.0.11: icmp_seq=105 ttl=64 time=78.4 ms
1008 bytes from 10.0.0.11: icmp_seq=106 ttl=64 time=73.6 ms
1008 bytes from 10.0.0.11: icmp_seq=107 ttl=64 time=71.1 ms
1008 bytes from 10.0.0.11: icmp_seq=108 ttl=64 time=68.1 ms
1008 bytes from 10.0.0.11: icmp_seq=109 ttl=64 time=68.4 ms
1008 bytes from 10.0.0.11: icmp_seq=110 ttl=64 time=66.8 ms
1008 bytes from 10.0.0.11: icmp_seq=111 ttl=64 time=63.4 ms
1008 bytes from 10.0.0.11: icmp_seq=112 ttl=64 time=59.4 ms
1008 bytes from 10.0.0.11: icmp_seq=113 ttl=64 time=59.9 ms
1008 bytes from 10.0.0.11: icmp_seq=114 ttl=64 time=58.6 ms
1008 bytes from 10.0.0.11: icmp_seq=115 ttl=64 time=62.6 ms
1008 bytes from 10.0.0.11: icmp_seq=116 ttl=64 time=62.8 ms
1008 bytes from 10.0.0.11: icmp_seq=117 ttl=64 time=66.2 ms
1008 bytes from 10.0.0.11: icmp_seq=118 ttl=64 time=66.3 ms
1008 bytes from 10.0.0.11: icmp_seq=119 ttl=64 time=65.6 ms
1008 bytes from 10.0.0.11: icmp_seq=120 ttl=64 time=63.1 ms
1008 bytes from 10.0.0.11: icmp_seq=121 ttl=64 time=64.1 ms
1008 bytes from 10.0.0.11: icmp_seq=122 ttl=64 time=62.8 ms
1008 bytes from 10.0.0.11: icmp_seq=123 ttl=64 time=61.6 ms
1008 bytes from 10.0.0.11: icmp_seq=124 ttl=64 time=63.9 ms
1008 bytes from 10.0.0.11: icmp_seq=125 ttl=64 time=62.6 ms
1008 bytes from 10.0.0.11: icmp_seq=126 ttl=64 time=63.7 ms
1008 bytes from 10.0.0.11: icmp_seq=127 ttl=64 time=63.2 ms
1008 bytes from 10.0.0.11: icmp_seq=128 ttl=64 time=62.3 ms
1008 bytes from 10.0.0.11: icmp_seq=129 ttl=64 time=61.4 ms
1008 bytes from 10.0.0.11: icmp_seq=130 ttl=64 time=62.8 ms
1008 bytes from 10.0.0.11: icmp_seq=131 ttl=64 time=62.2 ms
1008 bytes from 10.0.0.11: icmp_seq=132 ttl=64 time=60.3 ms
1008 bytes from 10.0.0.11: icmp_seq=133 ttl=64 time=62.6 ms
1008 bytes from 10.0.0.11: icmp_seq=134 ttl=64 time=58.6 ms
1008 bytes from 10.0.0.11: icmp_seq=135 ttl=64 time=60.8 ms
1008 bytes from 10.0.0.11: icmp_seq=136 ttl=64 time=64.0 ms
1008 bytes from 10.0.0.11: icmp_seq=137 ttl=64 time=61.5 ms
1008 bytes from 10.0.0.11: icmp_seq=138 ttl=64 time=64.0 ms
1008 bytes from 10.0.0.11: icmp_seq=139 ttl=64 time=58.8 ms
1008 bytes from 10.0.0.11: icmp_seq=140 ttl=64 time=56.6 ms
1008 bytes from 10.0.0.11: icmp_seq=141 ttl=64 time=56.4 ms
1008 bytes from 10.0.0.11: icmp_seq=142 ttl=64 time=53.8 ms
1008 bytes from 10.0.0.11: icmp_seq=143 ttl=64 time=50.1 ms
