PING 10.0.0.1 (10.0.0.1) 1000(1028) bytes of data.
1008 bytes from 10.0.0.1: icmp_seq=151 ttl=64 time=195 ms
1008 bytes from 10.0.0.1: icmp_seq=152 ttl=64 time=177 ms
1008 bytes from 10.0.0.1: icmp_seq=153 ttl=64 time=156 ms
1008 bytes from 10.0.0.1: icmp_seq=154 ttl=64 time=141 ms
1008 bytes from 10.0.0.1: icmp_seq=155 ttl=64 time=165 ms
1008 bytes from 10.0.0.1: icmp_seq=156 ttl=64 time=165 ms
1008 bytes from 10.0.0.1: icmp_seq=157 ttl=64 time=168 ms
1008 bytes from 10.0.0.1: icmp_seq=158 ttl=64 time=163 ms
1008 bytes from 10.0.0.1: icmp_seq=159 ttl=64 time=122 ms
1008 bytes from 10.0.0.1: icmp_seq=160 ttl=64 time=114 ms
1008 bytes from 10.0.0.1: icmp_seq=161 ttl=64 time=116 ms
1008 bytes from 10.0.0.1: icmp_seq=162 ttl=64 time=113 ms
1008 bytes from 10.0.0.1: icmp_seq=163 ttl=64 time=112 ms
1008 bytes from 10.0.0.1: icmp_seq=164 ttl=64 time=116 ms
1008 bytes from 10.0.0.1: icmp_seq=165 ttl=64 time=125 ms
1008 bytes from 10.0.0.1: icmp_seq=166 ttl=64 time=127 ms
1008 bytes from 10.0.0.1: icmp_seq=167 ttl=64 time=133 ms
1008 bytes from 10.0.0.1: icmp_seq=168 ttl=64 time=134 ms
1008 bytes from 10.0.0.1: icmp_seq=169 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=170 ttl=64 time=135 ms
1008 bytes from 10.0.0.1: icmp_seq=171 ttl=64 time=137 ms
1008 bytes from 10.0.0.1: icmp_seq=172 ttl=64 time=138 ms
1008 bytes from 10.0.0.1: icmp_seq=173 ttl=64 time=141 ms
1008 bytes from 10.0.0.1: icmp_seq=174 ttl=64 time=143 ms
1008 bytes from 10.0.0.1: icmp_seq=175 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=176 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=177 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=178 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=179 ttl=64 time=150 ms
1008 bytes from 10.0.0.1: icmp_seq=180 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=181 ttl=64 time=154 ms
1008 bytes from 10.0.0.1: icmp_seq=182 ttl=64 time=157 ms
1008 bytes from 10.0.0.1: icmp_seq=183 ttl=64 time=158 ms
1008 bytes from 10.0.0.1: icmp_seq=184 ttl=64 time=153 ms
1008 bytes from 10.0.0.1: icmp_seq=185 ttl=64 time=152 ms
1008 bytes from 10.0.0.1: icmp_seq=186 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=187 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=188 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=189 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=190 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=191 ttl=64 time=144 ms
1008 bytes from 10.0.0.1: icmp_seq=192 ttl=64 time=155 ms
1008 bytes from 10.0.0.1: icmp_seq=193 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=194 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=195 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=196 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=197 ttl=64 time=152 ms
1008 bytes from 10.0.0.1: icmp_seq=198 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=199 ttl=64 time=150 ms
1008 bytes from 10.0.0.1: icmp_seq=200 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=201 ttl=64 time=139 ms
1008 bytes from 10.0.0.1: icmp_seq=202 ttl=64 time=137 ms
1008 bytes from 10.0.0.1: icmp_seq=203 ttl=64 time=121 ms
1008 bytes from 10.0.0.1: icmp_seq=204 ttl=64 time=122 ms
1008 bytes from 10.0.0.1: icmp_seq=205 ttl=64 time=106 ms
1008 bytes from 10.0.0.1: icmp_seq=206 ttl=64 time=110 ms
1008 bytes from 10.0.0.1: icmp_seq=207 ttl=64 time=113 ms
1008 bytes from 10.0.0.1: icmp_seq=208 ttl=64 time=106 ms
1008 bytes from 10.0.0.1: icmp_seq=209 ttl=64 time=108 ms
1008 bytes from 10.0.0.1: icmp_seq=210 ttl=64 time=94.3 ms
1008 bytes from 10.0.0.1: icmp_seq=211 ttl=64 time=100 ms
1008 bytes from 10.0.0.1: icmp_seq=212 ttl=64 time=106 ms
1008 bytes from 10.0.0.1: icmp_seq=213 ttl=64 time=111 ms
1008 bytes from 10.0.0.1: icmp_seq=214 ttl=64 time=89.3 ms
1008 bytes from 10.0.0.1: icmp_seq=215 ttl=64 time=94.5 ms
1008 bytes from 10.0.0.1: icmp_seq=216 ttl=64 time=98.0 ms
1008 bytes from 10.0.0.1: icmp_seq=217 ttl=64 time=107 ms
1008 bytes from 10.0.0.1: icmp_seq=218 ttl=64 time=112 ms
1008 bytes from 10.0.0.1: icmp_seq=219 ttl=64 time=116 ms
1008 bytes from 10.0.0.1: icmp_seq=220 ttl=64 time=121 ms
1008 bytes from 10.0.0.1: icmp_seq=221 ttl=64 time=128 ms
1008 bytes from 10.0.0.1: icmp_seq=222 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=223 ttl=64 time=156 ms
1008 bytes from 10.0.0.1: icmp_seq=224 ttl=64 time=168 ms
1008 bytes from 10.0.0.1: icmp_seq=225 ttl=64 time=186 ms
1008 bytes from 10.0.0.1: icmp_seq=226 ttl=64 time=201 ms
1008 bytes from 10.0.0.1: icmp_seq=227 ttl=64 time=211 ms
1008 bytes from 10.0.0.1: icmp_seq=228 ttl=64 time=227 ms
1008 bytes from 10.0.0.1: icmp_seq=229 ttl=64 time=244 ms
1008 bytes from 10.0.0.1: icmp_seq=230 ttl=64 time=253 ms
1008 bytes from 10.0.0.1: icmp_seq=231 ttl=64 time=271 ms
1008 bytes from 10.0.0.1: icmp_seq=232 ttl=64 time=291 ms
1008 bytes from 10.0.0.1: icmp_seq=233 ttl=64 time=311 ms
1008 bytes from 10.0.0.1: icmp_seq=234 ttl=64 time=323 ms
1008 bytes from 10.0.0.1: icmp_seq=235 ttl=64 time=337 ms
1008 bytes from 10.0.0.1: icmp_seq=236 ttl=64 time=350 ms
1008 bytes from 10.0.0.1: icmp_seq=237 ttl=64 time=365 ms
1008 bytes from 10.0.0.1: icmp_seq=238 ttl=64 time=381 ms
1008 bytes from 10.0.0.1: icmp_seq=239 ttl=64 time=401 ms
1008 bytes from 10.0.0.1: icmp_seq=240 ttl=64 time=417 ms
1008 bytes from 10.0.0.1: icmp_seq=241 ttl=64 time=435 ms
1008 bytes from 10.0.0.1: icmp_seq=242 ttl=64 time=452 ms
1008 bytes from 10.0.0.1: icmp_seq=243 ttl=64 time=463 ms
1008 bytes from 10.0.0.1: icmp_seq=244 ttl=64 time=494 ms
1008 bytes from 10.0.0.1: icmp_seq=245 ttl=64 time=506 ms
1008 bytes from 10.0.0.1: icmp_seq=246 ttl=64 time=518 ms
1008 bytes from 10.0.0.1: icmp_seq=247 ttl=64 time=531 ms
1008 bytes from 10.0.0.1: icmp_seq=248 ttl=64 time=540 ms
1008 bytes from 10.0.0.1: icmp_seq=249 ttl=64 time=553 ms

--- 10.0.0.1 ping statistics ---
250 packets transmitted, 99 received, 60% packet loss, time 8674ms
rtt min/avg/max/mdev = 89.397/195.840/553.501/118.437 ms, pipe 19
path = [3, 0]
duration=9229
